"","YEAR","STATE","COUNTY","ST_CASE","MONTH","DAY","HOUR","MINUTE","FATALS","HARM_EV","WEATHER","CF1","CF2","CF3","DRUNK_DR","RAIL","DATE.Y","DATE"
"110",1975,1,127,10110,2,27,22,30,1,12,1,0,0,0,0,"*******",1975-02-27,2014-02-27
"111",1975,1,73,10111,2,26,22,19,1,8,1,0,0,0,0,"*******",1975-02-26,2014-02-26
"112",1975,1,21,10112,2,16,16,0,1,1,2,0,0,0,0,"*******",1975-02-16,2014-02-16
"113",1975,1,93,10113,2,17,18,10,1,12,1,0,0,0,0,"*******",1975-02-17,2014-02-17
"114",1975,1,97,10114,2,16,4,18,1,27,2,0,0,0,0,"*******",1975-02-16,2014-02-16
"115",1975,1,25,10115,3,1,22,35,1,22,9,0,0,0,0,"*******",1975-03-01,2014-03-01
"116",1975,1,65,10116,3,1,4,0,1,17,7,0,0,0,0,"*******",1975-03-01,2014-03-01
"117",1975,1,125,10117,3,1,19,45,1,17,1,0,0,0,0,"*******",1975-03-01,2014-03-01
"118",1975,1,103,10118,3,1,15,30,1,12,2,22,0,0,0,"*******",1975-03-01,2014-03-01
"119",1975,1,121,10119,3,2,19,0,1,12,1,3,26,0,0,"*******",1975-03-02,2014-03-02
"120",1975,1,81,10120,3,2,14,55,1,8,1,0,0,0,0,"*******",1975-03-02,2014-03-02
"121",1975,1,127,10121,3,21,19,35,1,12,1,3,0,0,0,"*******",1975-03-21,2014-03-21
"122",1975,1,33,10122,3,5,16,45,1,12,1,0,0,0,0,"*******",1975-03-05,2014-03-05
"123",1975,1,39,10123,3,8,6,0,1,1,1,0,0,0,0,"*******",1975-03-08,2014-03-08
"124",1975,1,13,10124,3,9,16,45,1,1,1,0,0,0,0,"*******",1975-03-09,2014-03-09
"125",1975,1,33,10125,3,1,15,13,2,12,2,0,0,0,1,"*******",1975-03-01,2014-03-01
"126",1975,1,73,10126,3,1,4,9,1,12,2,1,0,0,0,"*******",1975-03-01,2014-03-01
